| Government | CANADA |
| Diplomatic representation in the US: | chancery: 501 Pennsylvania Avenue NW, Washington, DC 20001 |
| Diplomatic representation in the US: | telephone: [1] (202) 682-1740 |
| Diplomatic representation in the US: | FAX: [1] (202) 682-7726 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Dallas, Denver, Detroit, Los Angeles, Miami, Minneapolis, New York, San Francisco/Silicon Valley, Seattle |
| Diplomatic representation in the US: | trade office(s): Houston, Palo Alto (CA), San Diego; note - there are trade offices in the Consulates General |
| Diplomatic representation from the US: | chief of mission: Ambassador Kelly CRAFT (since 23 October 2017) |
| Diplomatic representation from the US: | embassy: 490 Sussex Drive, Ottawa, Ontario K1N 1G8 |
| Diplomatic representation from the US: | mailing address: P. O. Box 5000, Ogdensburg, NY 13669-0430; P.O. Box 866, Station B, Ottawa, Ontario K1P 5T1 |
| Diplomatic representation from the US: | telephone: [1] (613) 688-5335 |
| Diplomatic representation from the US: | FAX: [1] (613) 688-3082 |
| Diplomatic representation from the US: | consulate(s) general: Calgary, Halifax, Montreal, Quebec City, Toronto, Vancouver |
| Diplomatic representation from the US: | consulate(s): Winnipeg |
| Flag description: | two vertical bands of red (hoist and fly side, half width) with white square between them; an 11-pointed red maple leaf is centered in the white square; the maple leaf has long been a Canadian symbol |
| National symbol(s): | maple leaf, beaver; national colors: red, white |
| National anthem: | name: "O Canada" |
| National anthem: | lyrics/music: Adolphe-Basile ROUTHIER [French], Robert Stanley WEIR [English]/Calixa LAVALLEE |
| National anthem: | note: adopted 1980; originally written in 1880, "O Canada" served as an unofficial anthem many years before its official adoption; the anthem has French and English versions whose lyrics differ; as a Commonwealth realm, in addition to the national anthem, "God Save the Queen" serves as the royal anthem (see United Kingdom) |
